17KGS;17-cetogenosteroides;;;;;;;;;;
17KS;17-cetosteroides;;;;;;;;;;
2-D;Bidimensional;;;;;;;;;;
3-D;Tridimensional;;;;;;;;;;
3TC;2´-desoxi-3´-tiacitidina lamivudina;;;;;;;;;;
5-FU;5-fluorouracilo;;;;;;;;;;
5-HIAA;Ácido 5-hidroxindolacético;;;;;;;;;;
5-HT;5-hidroxitriptamina o serotonina;;;;;;;;;;
A;Abdomen;Aborto;Aguas ;Analítica;Anestesia;Anexo;Antecedentes;Años;Aurícula;;
A-S;Adams-Stokes;;;;;;;;;;
A-V;Auriculoventricular;Arteriovenosa;;;;;;;;;
A/V;Relación Arteria-Vena;;;;;;;;;;
A00;Marcapasos con estimulación auricular asincrónica;;;;;;;;;;
AA;Abdomen agudo;Amenaza de aborto;Aminoácido;Anemia aplásica;Aorta abdominal;Aorta ascendente;Apendicitis aguda;Alcohólicos anónimos;;;
AAA;Aneurisma de aorta abdominal;;;;;;;;;;
AAD;Arco aórtico derecho;;;;;;;;;;
AAF;Aspiración con aguja fina;;;;;;;;;;
AAI;Apéndice auricular izquierdo;Anticuerpo antiinsulina;Marcapasos con estimulación auricular inhibida a demanda;;;;;;;;
AAINE;Analgésicos y antiinflamatorios no esteroideos;;;;;;;;;;
AAIR;Marcapasos con estimulación auricular inhibida a demanda con respuesta de frecuencia;;;;;;;;;;
AAN;Anticuerpos antinucleares;;;;;;;;;;
AAP;Amputación abdominoperineal;;;;;;;;;;
AAS;Ácido acetilsalicílico;Anemia aplásica severa;;;;;;;;;
AAT;Alfa-1-antitripsina;Anticuerpo antitiroglobulina;;;;;;;;;
AB;Abdomen;Adriamicina y bleomicina;Antibiótico;Asma bronquial;;;;;;;
ABC;Actividades básicas cotidianas;;;;;;;;;;
ABCD;Adriamicina, bleomicina, CCNU  y dacarbacina;;;;;;;;;;
ABCP;Adriamicina, bleomicina, CCNU  y metilprednisolona;;;;;;;;;;
ABDI;Abdomen blando, depresible e indoloro;;;;;;;;;;
ABDV;Adriamicina, bleomicina, dacarbacina y vinblastina;;;;;;;;;;
ABE;Adriamicina, bleomicina y etopósido;;;;;;;;;;
ABI;Índice de presión brazo/tobillo;;;;;;;;;;
ABO;Sistema de grupos sanguíneos ABO;;;;;;;;;;
ABS;Absceso;;;;;;;;;;
ABT;Antibiótico;;;;;;;;;;
ABV;Adriamicina, bleomicina y vinblastina;Adriamicina, bleomicina y vincristina;;;;;;;;;
ABVD;Actividades básicas de la vida diaria;Adriamicina, bleomicina, vinblastina y dacarbacina;;;;;;;;;
ABVP;Adriamicina, bleomicina, vinblastina y prednisona;;;;;;;;;;
AC;Adenocarcinoma;Anticonceptivo;Arabinósido de citosina;Arteria carótida;Arteria coronaria;Arteria  circunfleja;Auscultación cardiaca;;;;
AC-P;Auscultación cardiopulmonar;;;;;;;;;;
AC?;Auscultación cardiaca normal;;;;;;;;;;
ACA;Anticuerpos anticardiolipina;;;;;;;;;;
ACD;Arteria carótida derecha;Arteria coronaria derecha;;;;;;;;;
ACE;Antígeno carcinoembrionario;Arteria carótida externa;;;;;;;;;
ACFA;Arritmia completa por fibrilación auricular;;;;;;;;;;
ACFV;Adriamicina, ciclofosfamida, fluorouracilo y vincristina;;;;;;;;;;
ACG;Adjusted clinical groups;Ambulatory care groups;Arteritis de células gigantes;;;;;;;;
ACI;Arteria carótida interna;Arteria carótida izquierda;Arteria coronaria izquierda;;;;;;;;
ACID;Arteria carótida interna derecha;;;;;;;;;;
ACII;Arteria carótida interna izquierda;;;;;;;;;;
ACL;Análisis clínicos ;;;;;;;;;;
ACMF;Adriamicina, ciclofosfamida, metotrexato y ácido folínico;;;;;;;;;;
ACO;Acetilcolina;Anticoagulación;Anticoagulantes orales;;;;;;;;
ACP;Arteria cerebral posterior;Auscultación cardiopulmonar;;;;;;;;;
ACR;Auscultación cardiorrespiratoria;;;;;;;;;;
ACR;Arteria Central de la Retina;;;;;;;;;;
ACTH;Hormona adrenocorticotropa;;;;;;;;;;
